McFarlane figures (2020–present),,,
,,,
Standard figures,,,
Q3 2022,Black Lantern Batman,Display stand and Ivan Reis art card,Blackest Night version
Q3 2022,Black Lantern Superman,"Display stand and Shane Davis, Sandra Hope, Alex Sinclair art card",Blackest Night version
Q3 2022,Green Lantern (Kyle Rayner),"Lantern, sword, display stand and art card",Blackest Night version
Q3 2022,Deathstorm,"Lantern, display stand and Tony S. Daniel art card",Blackest Night version
Q4 2022,Batman,"Grapple launcher, display stand and CGI card","Batman: Arkham City version Rerelease of Batman: Arkham Asylum version with new head, gauntlets and Torso emblem"
Q4 2022,Batman,"Grapple launcher, display stand and CGI card",Walmart exclusive Black and White Edition
Q4 2022,The Penguin,"Umbrella, display stand and CGI card",Batman: Arkham City version
Q4 2022,The Penguin,"Umbrella, display stand and CGI card",Walmart exclusive Black and White Edition
Q4 2022,Catwoman,"Whip, display stand and CGI card",Batman: Arkham City version
Q4 2022,Catwoman,"Whip, display stand and CGI card",Walmart exclusive Black and White Edition
Q4 2022,Ra's al Ghul,"Sword, display stand and toy photo card",Batman: Arkham City version
Q4 2022,Ra's al Ghul,"Sword, display stand and toy photo card",Walmart exclusive Black and White Edition
Q4 2022,Flash (Jay Garrick),"4 lightning effect pieces, display stand and toy photo art card",Dark Nights: Speed Metal version
Q4 2022,Kid Flash (Ace West),"5 lighting effect pieces, display stand and toy photo card",Dark Nights: Speed Metal version
Q4 2022,The Flash (Barry Allen),"4 lighting effect pieces, display stand and toy photo art card",Dark Nights: Speed Metal version
Q4 2022,Wally West,"6 lightning effect pieces, display stand and toy photo art card",Dark Nights: Speed Metal version Redeco of The Flash DC Rebirth version
Q1 2023,Batman,"Grappling gun, 3 batarangs, display stand and Christian Bale photo card",The Dark Knight Rises version
